"BOLSAS","Potencial de Cambio Climático (GWP100) [Kg CO2 eq.]","Ecotoxicidad
marina [Kg 1,4-
DBeq.]
","Potencial de
acidificación [Kg
SO2 eq.]

","Consumo de
agua [M^3]","Agotamiento
ozono [Kg
CFC-11 eq.]
","Respiración de inorgánicos [Kg PM2.5 eq.]","Radiación ionizante [Kg Bq Co-60 eq.]","Eutrofización agua fresca [Kg P eq.]","Eutrofización marina [Kg N eq.]"
"BOLSAS BASURA PLÁSTICA","4.36E-3","8.12E-5","4.17E-2","0.00E+0","0.00E+0","0.00E+0","0.00E+0","3.72E-7","2.17E-6"
"BIOBOLSAS BASURA","1.61E-2","3.39E-4","5.74E-5","1.42E-4","1.14E-7","1.98E-5","6.43E-4","3.68E-6","7.81E-7"
"BIOBOLSAS","1.61E-2","3.39E-4","5.74E-5","1.42E-4","1.14E-7","1.98E-5","6.43E-4","3.68E-6","7.81E-7"
"BOLSAS PAPEL","9.39E-3","1.84E-4","2.18E-5","1.36E-4","1.07E-7","9.88E-6","6.28E-4","1.61E-6","6.66E-7"
"BOLSAS PEAD","9.57E-3","6.76E-4","5.03E-5","6.33E-5","8.04E-9","1.59E-5","1.85E-4","6.47E-6","4.90E-7"
"BOLSAS PEAB","1.62E-2","8.57E-4","8.16E-5","8.22E-5","1.47E-8","2.53E-5","2.17E-4","1.19E-5","8.22E-7"
"BOLSAS PP","1.39E-4","1.18E-5","7.72E-7","1.10E-6","1.10E-10","2.21E-7","3.37E-6","1.10E-7","5.52E-9"
"OTRAS BOLSAS PLÁSTICAS","4.49E-4","2.69E-5","3.04E-6","1.63E-6","2.81E-10","9.57E-7","1.36E-5","2.25E-7","2.81E-8"
